name,picUrl,urlA,urlB,urlC
Lu-Key,http://pic.xiami.net/images/artist/56/12554853932356.jpg,http://pic.xiami.net/images/artistpic/94/65994/1278492238_EDgT.jpg,http://pic.xiami.net/images/artistpic/94/65994/1426735691_Jn91.jpg,http://pic.xiami.net/images/artistpic/94/65994/1426735689_viR8.jpg
李玉�?http://pic.xiami.net/images/artistpic/75/84275/1295787610_10ED.jpg,,http://pic.xiami.net/images/artistpic/75/84275/1295787666_UnDr.jpg,http://pic.xiami.net/images/artistpic/75/84275/1295787617_nzQf.jpg,http://pic.xiami.net/images/artistlogo/3/14129949824003.jpg
G.E.M.邓紫�?http://pic.xiami.net/images/artistpic/12/55712/1285027257_zBwq.jpg,,http://pic.xiami.net/images/artistpic/12/55712/1254713086_RtDs.jpg,http://pic.xiami.net/images/artistpic/12/55712/1285027264_zqRj.jpg,http://pic.xiami.net/images/artistlogo/23/14578645251123.jpg
徐良,http://pic.xiami.net/images/artistlogo/57/14658846927957.jpg,http://pic.xiami.net/images/artistpic/47/83447/1369393489_J5h4.jpg,http://pic.xiami.net/images/artistpic/47/83447/1363136088_dTjh.jpg,http://pic.xiami.net/images/artistpic/47/83447/1358511418_rLFG.jpg
玖壹�?http://pic.xiami.net/images/artistpic/79/789255079/1461559627_vc7q.jpg,,http://pic.xiami.net/images/artistpic/79/789255079/1461559624_Th9B.jpg,http://pic.xiami.net/images/artistpic/79/789255079/1461559637_eD86.png,http://pic.xiami.net/images/artistlogo/0/15115381288800.jpg
Ming,http://pic.xiami.net/images/artistlogo/75/13611950506275.jpg,http://pic.xiami.net/images/artistpic/85/22885/1361195049_d6Op.jpg,,
zi,http://pic.xiami.net/images/artistlogo/99/14655539223699.png,,,
中国黑人,http://pic.xiami.net/images/artistlogo/61/13194525184861.jpg,,,
精气神制�?,,,,http://pic.xiami.net/images/artistlogo/26/14925013748526.jpg
Yael Naim,http://pic.xiami.net/images/artistlogo/73/14713387167273.jpg,http://pic.xiami.net/images/artistpic/26/23526/1247471152_GxFe.jpg,http://pic.xiami.net/images/artistpic/26/23526/1471343635_rNTF.jpg,
陈嘉�?http://pic.xiami.net/images/artistpic/85/1385/1384220486_FLIp.jpg,,http://pic.xiami.net/images/artistpic/85/1385/1383802562_LdVw.gif,http://pic.xiami.net/images/artistpic/85/1385/1383802576_DbK1.jpg,http://pic.xiami.net/images/artist/12113516982449.jpg
LAMP 2 DO IT,http://pic.xiami.net/images/artistlogo/41/14974540434541.jpg,,,
Lenka,http://pic.xiami.net/images/artistlogo/58/14575259605258.jpg,http://pic.xiami.net/images/artistpic/26/49526/1245423490_4LII.jpg,http://pic.xiami.net/images/artistpic/26/49526/1245423450_zfce.jpg,
Cash Cash,http://pic.xiami.net/images/artist/12302748425561.jpg,http://pic.xiami.net/images/artistpic/79/57279/1283494003_VIyd.jpg,http://pic.xiami.net/images/artistpic/79/57279/1283494011_nYer.jpg,http://pic.xiami.net/images/artistpic/79/57279/1323763654_Uc0B.jpg
TUNGEVAAG,http://pic.xiami.net/images/artistlogo/33/14330419161033.png,http://pic.xiami.net/images/artistpic/50/108591450/1430576972_JMQi.jpg,http://pic.xiami.net/images/artistpic/50/108591450/1430576965_nWDb.jpg,http://pic.xiami.net/images/artistpic/50/108591450/1431878519_tRbu.jpg
Marcus D,http://pic.xiami.net/images/artistlogo/56/14863708164856.jpg,http://pic.xiami.net/images/artistpic/67/79367/1387897173_4CNw.jpg,http://pic.xiami.net/images/artistpic/67/79367/1387897154_CM3p.jpg,
